,節,開催日,Team,awayTeam,homeScore,awayScore,H or A_x,AGI_x,KAGI_x,CBP_x,shot_x,shot acc_x,possession_x,ACBP_x,PassCBP_x,InterceptP_x,DP_x,H or A_y,AGI_y,KAGI_y,CBP_y,shot_y,shot acc_y,possession_y,ACBP_y,PassCBP_y,InterceptP_y,DP_y
610,1,2.23,磐田,松本,1,1,H,44,46,12.3%,17,5.9%,59.3%,15.21,11.63,93.8,14.76,A,54,56,9.9%,14,7.1%,40.7%,9.51,8.45,99.26,16.23
238,1,2.23,湘南,札幌,2,0,H,53,46,8.9%,12,16.7%,40.1%,11.51,8.91,117.67,20.13,A,54,47,8.0%,11,0.0%,59.9%,23.86,17.82,104.53,16.01
38,1,2.23,仙台,浦和,0,0,H,47,49,6.7%,8,0.0%,38.3%,9.48,6.09,89.37,16.49,A,51,53,8.2%,10,0.0%,61.7%,19.0,16.5,81.44,10.15
178,1,2.23,川崎Ｆ,FC東京,0,0,H,66,48,14.2%,16,0.0%,62.0%,24.83,22.04,106.61,11.11,A,52,34,5.3%,6,0.0%,38.0%,10.79,9.42,83.39,17.86
96,1,2.23,鹿島,大分,1,2,H,72,63,15.2%,21,4.8%,50.6%,24.65,19.77,120.87,10.04,A,37,28,9.4%,11,18.2%,49.4%,11.39,10.41,91.38,21.9
494,1,2.23,鳥栖,名古屋,0,4,H,45,37,7.3%,9,0.0%,42.6%,9.2,6.56,105.98,17.15,A,63,55,11.2%,15,26.7%,57.4%,23.56,21.9,130.58,10.52
458,1,2.23,広島,清水,1,1,H,62,55,11.3%,14,7.1%,50.6%,18.84,15.02,124.39,14.73,A,45,38,5.4%,7,14.3%,49.4%,13.97,11.77,92.33,16.58
396,1,2.22,Ｃ大阪,神戸,1,0,H,43,39,11.1%,11,9.1%,38.8%,12.66,11.3,85.33,13.15,A,61,57,15.0%,15,0.0%,61.2%,25.05,22.83,77.88,7.29
352,1,2.23,Ｇ大阪,横浜FM,2,3,H,56,47,7.5%,10,20.0%,42.8%,11.4,9.75,78.24,14.3,A,53,44,20.2%,25,12.0%,57.2%,19.18,14.79,111.92,17.11
290,2,3.2,清水,Ｇ大阪,2,4,H,57,41,16.3%,17,11.8%,38.7%,14.4,10.12,76.72,16.4,A,59,43,16.4%,20,20.0%,61.3%,27.6,23.47,89.12,12.22
174,2,3.1,川崎Ｆ,鹿島,1,1,H,68,43,18.0%,20,5.0%,65.3%,31.06,26.22,84.71,9.83,A,57,32,7.5%,8,12.5%,34.7%,10.43,8.09,92.09,20.48
102,2,3.2,浦和,札幌,0,2,H,49,52,11.7%,16,0.0%,47.3%,13.98,10.22,94.96,10.1,A,48,51,18.9%,23,8.7%,52.7%,19.55,15.24,101.86,11.97
474,2,3.1,広島,磐田,0,0,H,50,56,8.3%,11,0.0%,43.5%,11.65,10.01,113.26,13.63,A,44,50,7.7%,11,0.0%,56.5%,12.68,10.06,103.27,17.07
326,2,3.2,名古屋,Ｃ大阪,2,0,H,73,85,14.0%,15,13.3%,57.6%,24.5,22.56,70.91,7.2,A,15,27,3.9%,4,0.0%,42.4%,9.27,8.4,72.02,14.89
540,2,3.2,大分,松本,0,1,H,30,44,3.8%,4,0.0%,68.0%,15.63,14.02,66.99,12.66,A,56,70,14.0%,14,7.1%,32.0%,8.67,7.03,84.01,10.78
206,2,3.2,横浜FM,仙台,2,1,H,61,66,15.4%,18,11.1%,66.4%,26.39,20.67,95.23,10.25,A,34,39,4.1%,5,20.0%,33.6%,6.99,5.25,87.59,19.23
434,2,3.2,神戸,鳥栖,1,0,H,44,47,14.8%,16,6.3%,64.7%,17.92,16.92,72.59,10.53,A,53,56,5.7%,6,0.0%,35.3%,9.7,8.26,65.41,10.96
246,2,3.2,湘南,FC東京,2,3,H,51,32,7.6%,9,11.1%,50.1%,13.87,10.59,94.51,12.66,A,68,49,16.4%,19,15.8%,49.9%,17.37,12.85,81.98,17.1
162,3,3.1,FC東京,鳥栖,2,0,H,56,56,13.2%,16,6.3%,54.3%,15.9,12.52,77.11,12.0,A,44,44,5.1%,7,0.0%,45.7%,9.14,8.26,91.21,17.08
214,3,3.1,横浜FM,川崎Ｆ,2,2,H,55,46,10.1%,14,14.3%,53.4%,15.03,11.39,100.51,14.4,A,54,45,12.5%,16,12.5%,46.6%,15.46,12.25,111.93,15.29
550,3,3.9,松本,浦和,0,1,H,45,52,6.6%,10,0.0%,51.4%,8.43,7.11,104.62,13.75,A,48,55,4.8%,7,14.3%,48.6%,8.51,6.3,117.12,13.58
56,3,3.1,仙台,神戸,1,3,H,52,51,19.0%,20,5.0%,40.3%,15.07,13.94,94.43,15.03,A,49,48,14.3%,17,11.8%,59.7%,24.9,19.95,102.82,13.07
14,3,3.9,札幌,清水,5,2,H,50,58,21.6%,24,20.8%,50.4%,18.99,12.5,90.47,12.28,A,42,50,16.1%,18,11.1%,49.6%,15.66,11.24,83.79,18.48
608,3,3.9,磐田,大分,1,2,H,19,58,6.6%,7,14.3%,38.4%,11.06,9.77,58.82,14.83,A,42,81,11.6%,14,14.3%,61.6%,17.83,14.12,93.7,13.17
80,3,3.9,鹿島,湘南,1,0,H,62,45,12.7%,15,6.7%,57.5%,18.53,15.32,75.31,14.64,A,55,38,8.0%,9,0.0%,42.5%,11.09,10.12,74.54,14.1
358,3,3.9,Ｇ大阪,名古屋,2,3,H,54,37,8.1%,10,10.0%,50.3%,16.98,14.72,99.23,14.61,A,63,46,12.8%,17,11.8%,49.7%,20.78,18.05,108.6,11.21
398,3,3.9,Ｃ大阪,広島,0,1,H,52,49,10.0%,12,0.0%,67.0%,24.43,20.4,101.55,11.33,A,51,48,8.6%,10,10.0%,33.0%,8.91,6.89,119.6,18.97
2,4,3.17,札幌,鹿島,1,3,H,47,49,11.9%,13,7.7%,53.9%,17.64,13.4,57.67,8.52,A,51,53,13.6%,14,21.4%,46.1%,15.1,10.04,73.75,15.7
424,4,3.17,神戸,清水,1,1,H,45,35,11.1%,13,7.7%,60.0%,20.18,16.01,79.61,18.17,A,65,55,18.3%,20,5.0%,40.0%,21.33,17.15,101.97,13.66
522,4,3.17,大分,横浜FM,2,0,H,37,50,6.6%,8,25.0%,42.2%,9.98,7.72,75.39,22.95,A,50,63,10.4%,14,0.0%,57.8%,19.83,16.23,106.52,8.69
240,4,3.17,湘南,仙台,2,1,H,52,55,14.6%,18,11.1%,46.0%,16.65,11.57,111.43,15.45,A,45,48,9.8%,13,7.7%,54.0%,19.01,15.46,121.6,14.26
508,4,3.17,鳥栖,磐田,1,0,H,57,40,9.2%,11,9.1%,50.0%,12.49,8.34,80.05,12.37,A,60,43,11.0%,13,0.0%,50.0%,14.61,12.01,70.84,18.92
380,4,3.17,Ｃ大阪,浦和,1,2,H,58,56,20.4%,21,4.8%,59.8%,21.72,17.38,74.57,10.31,A,44,42,11.3%,11,18.2%,40.2%,10.57,9.46,65.29,17.62
188,4,3.17,川崎Ｆ,Ｇ大阪,0,1,H,68,52,14.2%,19,0.0%,54.1%,20.59,16.91,99.85,11.63,A,48,32,7.4%,9,11.1%,45.9%,12.99,11.17,98.37,17.45
472,4,3.17,広島,松本,1,0,H,64,75,9.8%,12,8.3%,59.6%,20.39,16.93,112.13,11.07,A,25,36,3.4%,4,0.0%,40.4%,7.4,7.32,75.26,15.8
152,4,3.17,FC東京,名古屋,1,0,H,48,38,10.4%,13,7.7%,38.7%,9.69,8.12,104.02,19.13,A,62,52,10.5%,14,0.0%,61.3%,23.72,19.28,78.81,11.63
230,5,3.29,横浜FM,鳥栖,0,0,H,50,57,13.6%,20,0.0%,65.6%,19.51,16.69,96.32,8.4,A,43,50,4.3%,6,0.0%,34.4%,7.01,6.09,126.73,18.58
536,5,3.3,大分,広島,0,1,H,33,55,7.3%,7,0.0%,64.7%,18.1,15.11,73.71,10.34,A,45,67,5.4%,5,20.0%,35.3%,13.8,10.49,65.74,12.05
306,5,3.3,名古屋,札幌,4,0,H,67,46,15.0%,21,14.3%,54.2%,29.16,23.68,120.29,14.95,A,54,33,9.4%,13,0.0%,45.8%,15.22,10.8,100.71,18.32
582,5,3.3,磐田,鹿島,1,1,H,1,34,6.8%,8,12.5%,41.7%,8.24,6.59,77.09,20.17,A,66,99,11.9%,15,6.7%,58.3%,19.01,15.3,79.68,9.59
286,5,3.31,清水,湘南,1,3,H,58,49,7.9%,10,10.0%,55.8%,17.95,14.23,80.32,12.97,A,51,42,14.7%,17,17.6%,44.2%,10.64,8.11,56.06,19.11
54,5,3.3,仙台,Ｃ大阪,0,2,H,44,54,9.6%,13,0.0%,45.7%,14.08,12.48,113.63,14.02,A,46,56,10.2%,13,15.4%,54.3%,16.5,13.5,132.56,13.39
554,5,3.31,松本,川崎Ｆ,0,2,H,45,33,3.0%,4,0.0%,33.2%,6.91,5.21,124.45,15.53,A,67,55,12.1%,17,11.8%,66.8%,30.04,24.27,118.66,12.09
362,5,3.3,Ｇ大阪,神戸,3,4,H,68,45,17.1%,20,15.0%,46.7%,23.63,17.77,71.6,13.21,A,55,32,10.9%,13,30.8%,53.3%,18.98,15.75,75.21,18.27
108,5,3.3,浦和,FC東京,1,1,H,49,56,9.2%,11,9.1%,63.2%,19.37,17.85,74.78,10.0,A,44,51,6.5%,7,14.3%,36.8%,9.38,8.56,90.89,17.78
60,6,4.6,仙台,鳥栖,3,0,H,54,58,14.2%,16,18.8%,40.6%,11.97,8.5,87.48,10.82,A,42,46,8.5%,10,0.0%,59.4%,13.97,10.41,54.67,14.92
112,6,4.5,浦和,横浜FM,0,3,H,49,49,8.1%,11,0.0%,43.9%,11.41,8.46,96.07,13.75,A,51,51,11.4%,14,21.4%,56.1%,19.28,16.62,79.45,14.12
