,節,開催日,Team,awayTeam,homeScore,awayScore,H or A_x,AGI_x,KAGI_x,CBP_x,shot_x,shot acc_x,possession_x,ACBP_x,PassCBP_x,InterceptP_x,DP_x,H or A_y,AGI_y,KAGI_y,CBP_y,shot_y,shot acc_y,possession_y,ACBP_y,PassCBP_y,InterceptP_y,DP_y
28,6,4.6,札幌,大分,1,2,H,51,58,16.4%,19,0.0%,61.1%,23.46,19.76,89.36,13.08,A,42,49,4.3%,5,20.0%,38.9%,9.43,7.97,94.04,18.82
462,6,4.6,広島,Ｇ大阪,3,0,H,58,51,6.2%,7,42.9%,34.4%,11.17,9.09,81.89,12.74,A,49,42,8.5%,10,0.0%,65.6%,23.63,21.59,94.74,11.22
568,6,4.6,松本,神戸,2,1,H,57,38,10.6%,13,15.4%,32.7%,7.88,4.82,92.38,26.16,A,62,43,10.1%,13,7.7%,67.3%,26.39,18.7,93.22,10.17
84,6,4.5,鹿島,名古屋,2,1,H,53,40,9.9%,14,14.3%,42.1%,12.45,8.18,120.72,14.34,A,60,47,8.0%,11,9.1%,57.9%,19.25,16.47,117.32,8.81
270,6,4.6,湘南,磐田,0,2,H,55,44,7.2%,8,0.0%,44.7%,9.83,8.92,85.37,13.11,A,56,45,14.5%,18,5.6%,55.3%,10.66,10.66,78.75,12.07
150,6,4.6,FC東京,清水,2,1,H,60,49,8.9%,12,16.7%,52.1%,17.41,14.11,96.2,15.75,A,51,40,12.2%,16,6.3%,47.9%,14.48,10.51,94.43,17.53
190,6,4.5,川崎Ｆ,Ｃ大阪,1,1,H,65,56,10.5%,13,7.7%,55.7%,27.36,23.74,127.4,10.25,A,44,35,5.0%,6,16.7%,44.3%,12.83,9.92,93.12,22.38
512,7,4.14,大分,仙台,2,0,H,47,44,6.3%,6,33.3%,54.2%,16.05,12.96,77.46,18.34,A,56,53,16.0%,16,0.0%,45.8%,15.85,13.64,77.75,12.86
374,7,4.13,Ｃ大阪,札幌,0,1,H,54,40,10.4%,11,0.0%,53.0%,15.88,12.71,63.79,16.56,A,60,46,15.1%,14,7.1%,47.0%,19.11,15.34,56.77,16.68
140,7,4.14,FC東京,鹿島,3,1,H,56,30,8.5%,10,30.0%,35.4%,10.85,7.45,124.88,16.69,A,70,44,10.2%,13,7.7%,64.6%,23.92,20.32,97.65,11.65
346,7,4.14,Ｇ大阪,浦和,0,1,H,51,47,10.9%,13,0.0%,55.5%,15.75,12.64,76.35,13.49,A,53,49,11.7%,13,7.7%,44.5%,10.89,8.91,87.75,15.51
432,7,4.14,神戸,広島,2,4,H,41,40,11.6%,13,15.4%,61.2%,19.92,16.76,99.12,10.29,A,60,59,10.7%,12,33.3%,38.8%,15.95,12.18,77.52,12.66
594,7,4.14,磐田,清水,1,2,H,49,55,7.6%,9,11.1%,56.3%,14.41,12.54,99.7,13.86,A,45,51,11.5%,14,14.3%,43.7%,11.24,9.18,103.12,15.73
268,7,4.14,湘南,松本,1,1,H,53,40,7.5%,10,10.0%,53.2%,13.03,10.11,99.3,18.63,A,60,47,7.4%,10,10.0%,46.8%,10.96,8.36,86.38,17.88
486,7,4.14,鳥栖,川崎Ｆ,0,1,H,54,52,7.0%,9,0.0%,43.7%,10.88,8.63,77.86,14.67,A,48,46,8.1%,9,11.1%,56.3%,17.17,14.88,94.16,15.31
220,7,4.13,横浜FM,名古屋,1,1,H,46,30,10.1%,12,8.3%,57.4%,14.48,12.22,77.57,17.86,A,70,54,14.1%,18,5.6%,42.6%,18.79,16.52,104.36,13.41
70,8,4.2,鹿島,仙台,1,0,H,60,55,9.6%,12,8.3%,56.5%,18.68,14.88,99.88,16.52,A,45,40,8.9%,11,0.0%,43.5%,11.02,9.26,90.69,19.37
368,8,4.2,Ｇ大阪,大分,1,1,H,57,83,21.7%,20,5.0%,41.0%,17.37,15.45,56.91,9.38,A,17,43,8.4%,8,12.5%,59.0%,13.33,12.29,66.54,19.87
10,8,4.2,札幌,横浜FM,3,0,H,54,57,12.7%,14,21.4%,36.6%,14.11,7.73,99.44,11.8,A,43,46,8.4%,10,0.0%,63.4%,17.89,16.93,77.52,8.34
124,8,4.2,浦和,神戸,1,0,H,48,43,4.9%,6,16.7%,29.3%,6.0,5.11,100.79,20.39,A,57,52,10.9%,14,0.0%,70.7%,23.71,21.52,110.36,8.97
292,8,4.2,清水,Ｃ大阪,1,0,H,53,52,11.5%,13,7.7%,37.8%,10.71,6.21,89.03,16.34,A,48,47,12.8%,15,0.0%,62.2%,18.18,14.88,74.27,13.0
572,8,4.2,松本,鳥栖,1,0,H,52,48,10.2%,12,8.3%,34.8%,7.81,5.56,70.04,20.47,A,52,48,8.4%,11,0.0%,65.2%,18.54,13.27,70.65,7.64
338,8,4.2,名古屋,磐田,1,0,H,50,47,3.8%,5,20.0%,62.6%,18.23,16.64,105.26,13.19,A,53,50,9.9%,13,0.0%,37.4%,10.02,7.41,92.58,15.51
182,8,4.19,川崎Ｆ,湘南,2,0,H,54,73,11.4%,12,16.7%,52.6%,20.9,20.47,117.19,12.67,A,27,46,8.7%,9,0.0%,47.4%,13.49,13.02,90.99,13.16
450,8,4.19,広島,FC東京,0,1,H,45,46,4.9%,5,0.0%,55.1%,12.86,11.81,58.56,13.34,A,54,55,4.9%,5,20.0%,44.9%,15.32,13.92,53.42,13.06
208,9,4.28,横浜FM,鹿島,2,1,H,63,66,12.8%,17,11.8%,67.6%,26.67,21.38,95.86,8.18,A,34,37,5.8%,7,14.3%,32.4%,6.0,4.8,82.09,19.41
578,9,4.28,磐田,札幌,1,2,H,46,58,8.5%,11,9.1%,48.7%,15.21,11.47,65.29,14.28,A,42,54,7.6%,9,22.2%,51.3%,15.82,12.39,105.81,14.15
418,9,4.28,神戸,川崎Ｆ,1,2,H,48,45,10.1%,13,7.7%,61.3%,19.94,17.01,91.12,9.57,A,55,52,10.1%,13,15.4%,38.7%,15.94,11.73,123.65,16.28
490,9,4.28,鳥栖,湘南,0,2,H,58,46,7.6%,10,0.0%,55.9%,11.17,8.73,87.85,16.34,A,54,42,14.9%,20,10.0%,44.1%,11.94,8.75,85.85,17.96
330,9,4.28,名古屋,広島,1,0,H,59,49,13.4%,16,6.3%,53.6%,26.13,21.37,101.46,15.68,A,51,41,8.0%,10,0.0%,46.4%,18.55,14.6,103.45,16.83
52,9,4.28,仙台,Ｇ大阪,2,1,H,58,40,14.3%,18,11.1%,50.5%,15.52,12.33,96.09,16.75,A,60,42,7.6%,10,10.0%,49.5%,18.27,12.35,74.23,17.38
402,9,4.27,Ｃ大阪,大分,0,0,H,61,61,11.5%,11,0.0%,42.3%,17.01,14.11,51.32,13.49,A,39,39,7.8%,7,0.0%,57.7%,17.21,13.54,62.77,11.24
278,9,4.28,清水,浦和,0,2,H,37,65,6.5%,7,0.0%,46.7%,14.75,12.52,94.27,12.59,A,35,63,9.2%,10,20.0%,53.3%,17.29,15.0,104.41,16.17
166,9,4.28,FC東京,松本,2,0,H,59,49,10.4%,12,16.7%,55.1%,16.66,13.03,68.47,13.62,A,51,41,9.2%,11,0.0%,44.9%,11.17,9.38,80.23,15.63
254,10,5.4,湘南,名古屋,1,1,H,51,29,9.6%,13,7.7%,43.3%,14.19,9.46,112.64,19.03,A,71,49,15.4%,21,4.8%,56.7%,28.14,25.9,99.89,12.69
566,10,5.4,松本,Ｃ大阪,0,2,H,53,45,8.9%,10,0.0%,42.4%,13.3,10.3,57.19,12.04,A,55,47,18.1%,21,9.5%,57.6%,16.7,11.33,89.05,17.17
348,10,5.4,Ｇ大阪,FC東京,0,0,H,55,44,15.9%,18,0.0%,62.6%,18.3,14.86,74.61,12.1,A,56,45,12.7%,14,0.0%,37.4%,14.97,11.41,66.13,14.67
134,10,5.3,浦和,磐田,0,1,H,50,42,9.4%,10,0.0%,57.3%,17.27,16.14,80.26,13.19,A,58,50,16.2%,19,5.3%,42.7%,14.58,10.68,71.13,15.29
538,10,5.4,大分,鳥栖,2,0,H,47,50,12.3%,13,15.4%,57.2%,15.41,12.25,88.16,14.62,A,50,53,3.6%,4,0.0%,42.8%,13.32,10.91,99.24,11.43
22,10,5.4,札幌,神戸,2,1,H,60,58,16.0%,17,11.8%,43.2%,18.44,13.11,85.61,14.38,A,42,40,12.1%,13,7.7%,56.8%,17.31,14.0,81.66,17.61
172,10,5.3,川崎Ｆ,仙台,3,1,H,75,50,12.3%,14,21.4%,60.9%,32.67,26.12,114.24,10.72,A,50,25,8.4%,9,11.1%,39.1%,13.12,10.66,85.54,18.11
454,10,5.3,広島,横浜FM,0,1,H,65,66,14.9%,18,0.0%,40.9%,19.17,10.89,77.49,9.54,A,34,35,3.4%,4,25.0%,59.1%,15.77,14.52,72.7,19.74
82,10,5.3,鹿島,清水,3,0,H,64,52,13.4%,15,20.0%,58.5%,24.02,20.52,111.75,10.39,A,48,36,9.9%,11,0.0%,41.5%,12.38,9.66,57.85,17.2
544,11,5.12,松本,札幌,0,0,H,54,44,12.4%,14,0.0%,43.4%,10.25,9.46,78.89,16.0,A,56,46,10.3%,11,0.0%,56.6%,19.18,14.22,76.5,16.1
412,11,5.12,神戸,鹿島,0,1,H,39,44,3.8%,5,0.0%,57.7%,14.85,13.75,108.72,14.31,A,56,61,15.0%,19,5.3%,42.3%,16.59,13.73,106.71,13.56
266,11,5.12,湘南,大分,0,1,H,60,55,16.7%,21,0.0%,49.2%,17.52,14.51,102.22,9.97,A,45,40,9.2%,11,9.1%,50.8%,12.51,10.16,92.45,16.2
282,11,5.12,清水,川崎Ｆ,0,4,H,38,40,7.6%,9,0.0%,49.8%,12.96,10.35,108.76,14.94,A,60,62,12.0%,15,26.7%,50.2%,20.16,16.6,117.93,15.05
312,11,5.12,名古屋,浦和,2,0,H,63,60,14.3%,17,11.8%,63.8%,31.76,26.21,89.03,12.47,A,40,37,4.9%,5,0.0%,36.2%,7.05,7.05,72.9,15.58
386,11,5.11,Ｃ大阪,横浜FM,3,0,H,69,53,11.5%,12,25.0%,34.7%,12.63,8.31,81.22,10.73,A,47,31,10.5%,11,0.0%,65.3%,17.6,15.26,54.29,9.69
168,11,5.12,FC東京,磐田,1,0,H,58,54,12.0%,15,6.7%,47.1%,17.61,13.15,86.91,11.6,A,46,42,9.0%,11,0.0%,52.9%,15.85,13.67,82.08,14.23
58,11,5.12,仙台,広島,2,1,H,53,45,14.9%,17,11.8%,54.7%,19.72,16.56,111.66,10.66,A,55,47,9.4%,12,8.3%,45.3%,14.4,10.25,70.62,15.54
496,11,5.11,鳥栖,Ｇ大阪,3,1,H,55,56,11.5%,13,23.1%,47.9%,12.46,8.88,97.23,9.66,A,44,45,5.0%,6,16.7%,52.1%,13.26,11.07,65.71,10.8
468,12,5.17,広島,鳥栖,0,1,H,62,64,12.9%,15,0.0%,48.8%,17.72,13.39,80.16,11.86,A,36,38,4.8%,5,0.0%,51.2%,11.1,10.69,75.86,18.18
226,12,5.18,横浜FM,神戸,4,1,H,54,55,11.2%,15,26.7%,58.2%,21.53,14.8,73.9,11.98,A,45,46,10.4%,13,7.7%,41.8%,10.62,7.72,109.89,17.84
360,12,5.18,Ｇ大阪,Ｃ大阪,1,0,H,48,42,9.2%,11,9.1%,51.0%,15.38,12.69,111.5,17.35,A,58,52,10.8%,13,0.0%,49.0%,19.66,15.7,86.58,11.92
186,12,5.17,川崎Ｆ,名古屋,1,1,H,46,31,9.2%,11,9.1%,45.9%,15.34,13.3,121.69,14.03,A,69,54,7.5%,9,11.1%,54.1%,24.1,20.26,99.05,12.62
526,12,5.18,大分,清水,1,1,H,28,53,10.8%,10,10.0%,66.7%,15.29,14.5,66.97,10.24,A,47,72,15.1%,13,7.7%,33.3%,8.1,7.08,42.8,11.2
114,12,5.17,浦和,湘南,2,3,H,70,52,12.4%,17,11.8%,48.8%,17.68,13.0,131.26,14.73,A,48,30,9.1%,14,21.4%,51.2%,11.75,9.12,99.17,14.91
136,12,5.18,FC東京,札幌,2,0,H,56,43,9.8%,12,16.7%,45.0%,13.08,11.44,115.8,11.53,A,57,44,10.2%,11,0.0%,55.0%,18.65,16.74,84.76,12.84
580,12,5.18,磐田,仙台,2,0,H,50,45,14.0%,16,12.5%,47.2%,12.29,9.61,116.84,21.89,A,55,50,11.2%,14,0.0%,52.8%,16.62,13.44,86.66,13.04
98,12,5.18,鹿島,松本,5,0,H,55,61,11.2%,14,35.7%,60.6%,20.26,14.83,107.43,6.95,A,39,45,5.8%,6,0.0%,39.4%,7.86,5.93,93.39,14.0
520,13,5.26,大分,川崎Ｆ,0,1,H,43,43,4.1%,4,0.0%,49.6%,13.72,13.6,79.92,8.99,A,57,57,10.2%,10,10.0%,50.4%,22.97,21.48,74.57,12.79
126,13,5.26,浦和,広島,0,4,H,53,41,10.1%,11,0.0%,60.3%,21.39,19.41,47.79,9.5,A,59,47,12.6%,14,28.6%,39.7%,11.42,8.58,53.53,15.64
336,13,5.26,名古屋,松本,0,1,H,59,56,9.0%,12,0.0%,67.4%,24.53,22.11,105.01,8.39,A,44,41,8.4%,9,11.1%,32.6%,4.49,4.1,91.25,18.06
18,13,5.25,札幌,Ｇ大阪,0,0,H,62,63,14.0%,16,0.0%,52.8%,20.94,17.21,93.02,10.2,A,37,38,6.9%,7,0.0%,47.2%,13.95,12.54,77.23,15.4
480,13,5.26,鳥栖,鹿島,1,0,H,57,46,8.8%,10,10.0%,48.3%,10.68,7.62,87.5,10.35,A,54,43,9.7%,11,0.0%,51.7%,11.28,7.7,72.18,17.85
422,13,5.26,神戸,湘南,4,1,H,53,53,12.6%,15,26.7%,60.8%,15.75,13.71,88.35,9.48,A,47,47,8.4%,9,11.1%,39.2%,10.4,8.43,92.62,15.57
274,13,5.25,清水,仙台,4,3,H,47,48,10.6%,13,30.8%,48.8%,16.74,11.1,99.05,22.99,A,52,53,15.8%,21,14.3%,51.2%,15.99,11.83,87.49,15.79
236,13,5.26,横浜FM,磐田,4,0,H,54,49,18.8%,22,18.2%,61.6%,25.26,17.97,78.53,12.16,A,51,46,12.1%,14,0.0%,38.4%,8.54,6.71,90.39,11.86
382,13,5.25,Ｃ大阪,FC東京,1,0,H,50,41,14.5%,17,5.9%,53.0%,12.74,10.43,78.07,9.47,A,59,50,11.1%,12,0.0%,47.0%,11.87,9.34,57.43,13.42
164,14,6.1,FC東京,大分,3,1,H,75,79,17.6%,19,15.8%,46.5%,20.88,15.78,99.08,10.75,A,21,25,4.0%,4,25.0%,53.5%,12.29,11.04,60.28,18.06
602,14,6.1,磐田,神戸,1,1,H,54,57,15.3%,17,5.9%,49.5%,18.74,14.74,81.16,8.51,A,43,46,8.2%,9,11.1%,50.5%,9.97,8.65,72.97,15.84
250,14,5.31,湘南,横浜FM,1,2,H,52,51,6.6%,8,12.5%,32.8%,8.47,4.78,76.53,13.75,A,49,48,8.7%,11,18.2%,67.2%,17.67,14.16,86.89,11.93
176,14,6.1,川崎Ｆ,浦和,1,1,H,59,57,15.0%,17,5.9%,61.0%,23.83,18.37,90.1,9.89,A,43,41,7.5%,8,12.5%,39.0%,11.22,8.12,105.48,13.57
498,14,6.1,鳥栖,Ｃ大阪,0,1,H,65,63,10.4%,10,0.0%,52.2%,17.1,12.78,67.69,7.95,A,37,35,11.8%,12,8.3%,47.8%,9.83,8.74,56.66,15.34
24,14,6.1,札幌,広島,1,0,H,43,51,7.2%,7,14.3%,54.8%,15.2,14.01,80.09,16.16,A,49,57,7.3%,8,0.0%,45.2%,17.3,14.58,105.96,17.51
560,14,6.1,松本,清水,1,1,H,50,57,7.4%,9,11.1%,50.0%,11.97,9.9,96.11,13.22,A,43,50,10.6%,12,8.3%,50.0%,10.88,8.41,88.27,14.45
50,14,6.1,仙台,名古屋,3,1,H,43,40,8.3%,10,30.0%,38.4%,8.69,7.23,122.94,18.4,A,60,57,7.8%,10,10.0%,61.6%,23.74,20.5,108.72,13.85
344,14,6.1,Ｇ大阪,鹿島,1,1,H,46,36,7.5%,8,12.5%,53.5%,17.6,14.2,88.2,12.79,A,64,54,7.8%,8,12.5%,46.5%,16.12,14.84,95.83,10.36
598,15,6.15,磐田,Ｇ大阪,0,0,H,67,54,10.2%,12,0.0%,44.8%,14.67,11.57,89.67,8.06,A,46,33,12.4%,15,0.0%,55.2%,19.61,13.55,81.59,15.16
170,15,6.14,川崎Ｆ,札幌,1,1,H,70,66,22.4%,26,3.8%,58.6%,30.02,22.91,79.91,10.88,A,34,30,3.5%,4,25.0%,41.4%,9.84,8.4,49.45,23.36
546,15,6.15,松本,仙台,0,1,H,52,44,9.8%,12,0.0%,50.6%,16.18,12.95,79.52,14.67,A,56,48,8.9%,11,9.1%,49.4%,16.4,10.42,89.25,17.48
128,15,6.15,浦和,鳥栖,2,1,H,45,46,13.6%,15,13.3%,54.2%,11.96,10.89,51.86,13.73,A,54,55,10.9%,12,8.3%,45.8%,14.07,7.62,83.9,10.2
158,15,6.15,FC東京,神戸,0,1,H,66,48,11.1%,14,0.0%,41.7%,14.68,11.89,91.54,12.4,A,52,34,18.7%,20,5.0%,58.3%,22.7,13.52,80.89,16.14
456,15,6.14,広島,湘南,2,0,H,68,53,19.8%,25,8.0%,58.9%,21.11,15.82,98.9,9.04,A,47,32,10.1%,12,0.0%,41.1%,10.9,8.63,83.73,16.87
88,15,6.14,鹿島,Ｃ大阪,2,0,H,52,54,10.4%,10,20.0%,46.7%,15.3,10.58,66.5,11.39,A,46,48,16.8%,16,0.0%,53.3%,13.6,10.79,77.67,10.71
528,15,6.15,大分,名古屋,1,1,H,24,21,8.3%,9,11.1%,39.1%,8.96,6.02,74.98,29.06,A,79,76,18.1%,21,4.8%,60.9%,41.15,34.97,94.13,6.1
284,15,6.15,清水,横浜FM,3,2,H,56,51,11.8%,14,21.4%,31.8%,8.8,6.48,77.77,13.52,A,49,44,9.5%,12,16.7%,68.2%,21.62,17.34,75.01,13.96
406,16,6.22,Ｃ大阪,磐田,2,0,H,54,39,12.6%,14,14.3%,53.7%,15.04,11.29,85.22,19.53,A,61,46,17.1%,18,0.0%,46.3%,14.14,10.66,80.18,7.96
