,節,開催日,Team,awayTeam,homeScore,awayScore,H or A_x,AGI_x,KAGI_x,CBP_x,shot_x,shot acc_x,possession_x,ACBP_x,PassCBP_x,InterceptP_x,DP_x,H or A_y,AGI_y,KAGI_y,CBP_y,shot_y,shot acc_y,possession_y,ACBP_y,PassCBP_y,InterceptP_y,DP_y
473,33,12.16,Ｃ大阪,鳥栖,1,2,H,59,52,13.3%,15,6.7%,49.0%,20.56,17.18,92.16,10.32,A,48,41,11.9%,13,15.4%,51.0%,17.32,13.82,73.69,15.54
211,33,12.16,川崎Ｆ,浦和,3,1,H,73,69,22.0%,24,12.5%,61.7%,35.36,31.51,125.52,8.68,A,31,27,3.9%,4,25.0%,38.3%,10.69,9.37,68.43,22.52
295,33,12.16,横浜FC,Ｇ大阪,0,2,H,42,49,15.0%,16,0.0%,65.1%,19.91,16.02,75.56,9.93,A,51,58,11.6%,13,15.4%,34.9%,9.85,8.75,80.39,12.86
343,33,12.16,清水,仙台,2,3,H,29,43,7.6%,9,22.2%,62.5%,17.01,14.76,113.79,15.03,A,57,71,5.9%,8,37.5%,37.5%,10.12,9.04,117.88,12.51
93,34,12.19,鹿島,Ｃ大阪,1,1,H,62,52,17.7%,23,4.3%,64.5%,23.95,19.41,112.45,9.88,A,48,38,10.1%,12,8.3%,35.5%,8.56,6.09,77.34,23.45
51,34,12.19,仙台,湘南,0,0,H,52,38,9.1%,10,0.0%,53.9%,12.97,9.34,75.73,19.91,A,62,48,15.8%,18,0.0%,46.1%,13.69,10.26,87.78,14.04
577,34,12.19,鳥栖,大分,2,2,H,54,49,15.8%,16,12.5%,59.5%,19.17,14.41,79.08,11.77,A,51,46,13.6%,14,14.3%,40.5%,11.44,9.06,69.93,14.98
197,34,12.19,FC東京,神戸,1,0,H,55,68,11.6%,14,7.1%,41.9%,12.3,10.8,105.78,12.09,A,32,45,9.3%,11,0.0%,58.1%,14.41,13.04,104.56,12.38
147,34,12.19,柏,川崎Ｆ,2,3,H,44,44,11.2%,14,14.3%,33.2%,11.72,8.69,119.22,15.16,A,56,56,12.7%,17,17.6%,66.8%,27.53,21.55,116.5,14.39
287,34,12.19,横浜FC,横浜FM,3,1,H,45,31,11.3%,13,23.1%,39.5%,7.52,5.87,77.14,19.17,A,69,55,23.7%,27,3.7%,60.5%,26.16,21.74,92.4,8.95
429,34,12.19,Ｇ大阪,清水,0,2,H,59,53,14.2%,17,0.0%,60.4%,22.37,19.39,99.93,8.96,A,47,41,10.5%,12,16.7%,39.6%,10.43,9.13,104.66,22.77
103,34,12.19,浦和,札幌,0,2,H,38,36,7.9%,9,0.0%,47.3%,12.5,10.66,62.88,16.16,A,64,62,18.5%,20,10.0%,52.7%,24.38,18.41,115.62,11.12
403,34,12.19,名古屋,広島,1,0,H,49,30,10.9%,12,8.3%,49.6%,14.78,14.56,94.19,24.03,A,70,51,10.8%,13,0.0%,50.4%,20.3,16.89,99.69,10.59
